,participant_number,block_number,condition,RT,group,task
0,1,0,vehicles,706,fruit_vegetable_group,learning
1,1,0,vehicles,672,fruit_vegetable_group,learning
2,1,0,tools,628,fruit_vegetable_group,learning
3,1,0,vehicles,971,fruit_vegetable_group,learning
4,1,0,tools,822,fruit_vegetable_group,learning
5,1,0,tools,748,fruit_vegetable_group,learning
6,1,0,vehicles,644,fruit_vegetable_group,learning
7,1,0,tools,669,fruit_vegetable_group,learning
8,1,0,vehicles,570,fruit_vegetable_group,learning
9,1,0,vehicles,784,fruit_vegetable_group,learning
10,1,0,vehicles,691,fruit_vegetable_group,learning
11,1,0,vehicles,773,fruit_vegetable_group,learning
12,1,0,tools,917,fruit_vegetable_group,learning
13,1,0,vehicles,1116,fruit_vegetable_group,learning
14,1,0,tools,559,fruit_vegetable_group,learning
15,1,0,vehicles,729,fruit_vegetable_group,learning
16,1,0,vehicles,702,fruit_vegetable_group,learning
17,1,0,tools,683,fruit_vegetable_group,learning
18,1,0,vehicles,951,fruit_vegetable_group,learning
19,1,0,tools,962,fruit_vegetable_group,learning
20,1,0,tools,680,fruit_vegetable_group,learning
21,1,0,tools,642,fruit_vegetable_group,learning
22,1,0,vehicles,741,fruit_vegetable_group,learning
23,1,0,tools,589,fruit_vegetable_group,learning
24,1,0,tools,646,fruit_vegetable_group,learning
25,1,0,vehicles,764,fruit_vegetable_group,learning
26,1,0,tools,591,fruit_vegetable_group,learning
27,1,0,vehicles,854,fruit_vegetable_group,learning
28,1,0,tools,723,fruit_vegetable_group,learning
29,1,0,vehicles,1050,fruit_vegetable_group,learning
30,1,0,vehicles,657,fruit_vegetable_group,learning
31,1,0,vehicles,736,fruit_vegetable_group,learning
32,1,0,tools,726,fruit_vegetable_group,learning
33,1,0,tools,636,fruit_vegetable_group,learning
34,1,0,vehicles,807,fruit_vegetable_group,learning
35,1,0,vehicles,678,fruit_vegetable_group,learning
36,1,0,tools,702,fruit_vegetable_group,learning
37,1,0,tools,689,fruit_vegetable_group,learning
38,1,0,tools,649,fruit_vegetable_group,learning
39,1,0,tools,607,fruit_vegetable_group,learning
40,1,0,tools,565,fruit_vegetable_group,learning
41,1,0,vehicles,548,fruit_vegetable_group,learning
42,1,0,vehicles,609,fruit_vegetable_group,learning
43,1,0,vehicles,585,fruit_vegetable_group,learning
44,1,0,vehicles,632,fruit_vegetable_group,learning
45,1,0,vehicles,654,fruit_vegetable_group,learning
46,1,0,vehicles,548,fruit_vegetable_group,learning
47,1,0,vehicles,655,fruit_vegetable_group,learning
48,1,0,tools,717,fruit_vegetable_group,learning
49,1,0,vehicles,644,fruit_vegetable_group,learning
50,1,0,vehicles,713,fruit_vegetable_group,learning
51,1,0,tools,736,fruit_vegetable_group,learning
52,1,0,tools,545,fruit_vegetable_group,learning
53,1,0,tools,467,fruit_vegetable_group,learning
54,1,0,tools,769,fruit_vegetable_group,learning
55,1,0,tools,675,fruit_vegetable_group,learning
56,1,0,vehicles,672,fruit_vegetable_group,learning
57,1,0,vehicles,770,fruit_vegetable_group,learning
58,1,0,tools,619,fruit_vegetable_group,learning
59,1,0,tools,578,fruit_vegetable_group,learning
60,1,0,tools,681,fruit_vegetable_group,learning
61,1,0,vehicles,630,fruit_vegetable_group,learning
62,1,0,vehicles,649,fruit_vegetable_group,learning
63,1,0,tools,771,fruit_vegetable_group,learning
64,1,0,tools,587,fruit_vegetable_group,learning
65,1,0,tools,564,fruit_vegetable_group,learning
66,1,0,vehicles,638,fruit_vegetable_group,learning
67,1,0,tools,615,fruit_vegetable_group,learning
68,1,0,tools,578,fruit_vegetable_group,learning
69,1,1,vehicles,630,fruit_vegetable_group,learning
70,1,1,vehicles,611,fruit_vegetable_group,learning
71,1,1,vehicles,659,fruit_vegetable_group,learning
72,1,1,vehicles,549,fruit_vegetable_group,learning
73,1,1,vehicles,624,fruit_vegetable_group,learning
74,1,1,tools,576,fruit_vegetable_group,learning
75,1,1,vehicles,560,fruit_vegetable_group,learning
76,1,1,tools,549,fruit_vegetable_group,learning
77,1,1,vehicles,543,fruit_vegetable_group,learning
78,1,1,vehicles,539,fruit_vegetable_group,learning
79,1,1,tools,528,fruit_vegetable_group,learning
80,1,1,vehicles,675,fruit_vegetable_group,learning
81,1,1,tools,561,fruit_vegetable_group,learning
82,1,1,tools,696,fruit_vegetable_group,learning
83,1,1,vehicles,565,fruit_vegetable_group,learning
84,1,1,tools,597,fruit_vegetable_group,learning
85,1,1,tools,694,fruit_vegetable_group,learning
86,1,1,vehicles,720,fruit_vegetable_group,learning
87,1,1,tools,623,fruit_vegetable_group,learning
88,1,1,tools,634,fruit_vegetable_group,learning
89,1,1,tools,736,fruit_vegetable_group,learning
90,1,1,vehicles,482,fruit_vegetable_group,learning
91,1,1,tools,697,fruit_vegetable_group,learning
92,1,1,tools,679,fruit_vegetable_group,learning
93,1,1,tools,828,fruit_vegetable_group,learning
94,1,1,vehicles,730,fruit_vegetable_group,learning
95,1,1,vehicles,758,fruit_vegetable_group,learning
96,1,1,tools,645,fruit_vegetable_group,learning
97,1,1,tools,642,fruit_vegetable_group,learning
98,1,1,tools,733,fruit_vegetable_group,learning
99,1,1,vehicles,554,fruit_vegetable_group,learning
100,1,1,tools,576,fruit_vegetable_group,learning
101,1,1,tools,710,fruit_vegetable_group,learning
102,1,1,tools,565,fruit_vegetable_group,learning
103,1,1,tools,650,fruit_vegetable_group,learning
104,1,1,vehicles,535,fruit_vegetable_group,learning
105,1,1,vehicles,501,fruit_vegetable_group,learning
106,1,1,vehicles,505,fruit_vegetable_group,learning
107,1,1,vehicles,512,fruit_vegetable_group,learning
108,1,1,vehicles,437,fruit_vegetable_group,learning
109,1,1,tools,588,fruit_vegetable_group,learning
110,1,1,vehicles,637,fruit_vegetable_group,learning
111,1,1,vehicles,690,fruit_vegetable_group,learning
112,1,1,vehicles,544,fruit_vegetable_group,learning
113,1,1,tools,609,fruit_vegetable_group,learning
114,1,1,vehicles,599,fruit_vegetable_group,learning
115,1,1,vehicles,576,fruit_vegetable_group,learning
116,1,1,tools,736,fruit_vegetable_group,learning
117,1,1,tools,476,fruit_vegetable_group,learning
118,1,1,tools,514,fruit_vegetable_group,learning
119,1,1,tools,767,fruit_vegetable_group,learning
120,1,1,vehicles,658,fruit_vegetable_group,learning
121,1,1,tools,706,fruit_vegetable_group,learning
122,1,1,tools,569,fruit_vegetable_group,learning
123,1,1,tools,692,fruit_vegetable_group,learning
124,1,1,tools,645,fruit_vegetable_group,learning
125,1,1,vehicles,488,fruit_vegetable_group,learning
126,1,1,tools,575,fruit_vegetable_group,learning
127,1,1,vehicles,614,fruit_vegetable_group,learning
128,1,1,vehicles,685,fruit_vegetable_group,learning
129,1,1,vehicles,540,fruit_vegetable_group,learning
130,1,1,vehicles,549,fruit_vegetable_group,learning
131,1,1,tools,526,fruit_vegetable_group,learning
132,1,1,vehicles,601,fruit_vegetable_group,learning
133,1,1,tools,584,fruit_vegetable_group,learning
134,1,1,tools,659,fruit_vegetable_group,learning
135,1,1,vehicles,567,fruit_vegetable_group,learning
136,1,1,vehicles,503,fruit_vegetable_group,learning
137,1,2,vehicles,624,fruit_vegetable_group,learning
138,1,2,vehicles,591,fruit_vegetable_group,learning
139,1,2,vehicles,806,fruit_vegetable_group,learning
140,1,2,tools,585,fruit_vegetable_group,learning
141,1,2,vehicles,477,fruit_vegetable_group,learning
142,1,2,tools,548,fruit_vegetable_group,learning
143,1,2,tools,579,fruit_vegetable_group,learning
144,1,2,tools,645,fruit_vegetable_group,learning
145,1,2,tools,539,fruit_vegetable_group,learning
146,1,2,tools,752,fruit_vegetable_group,learning
147,1,2,tools,615,fruit_vegetable_group,learning
148,1,2,tools,628,fruit_vegetable_group,learning
149,1,2,tools,760,fruit_vegetable_group,learning
150,1,2,vehicles,637,fruit_vegetable_group,learning
151,1,2,vehicles,572,fruit_vegetable_group,learning
152,1,2,tools,668,fruit_vegetable_group,learning
153,1,2,vehicles,627,fruit_vegetable_group,learning
154,1,2,tools,582,fruit_vegetable_group,learning
155,1,2,tools,494,fruit_vegetable_group,learning
156,1,2,vehicles,534,fruit_vegetable_group,learning
157,1,2,tools,465,fruit_vegetable_group,learning
158,1,2,tools,825,fruit_vegetable_group,learning
159,1,2,tools,549,fruit_vegetable_group,learning
160,1,2,vehicles,511,fruit_vegetable_group,learning
161,1,2,vehicles,562,fruit_vegetable_group,learning
162,1,2,vehicles,574,fruit_vegetable_group,learning
163,1,2,vehicles,523,fruit_vegetable_group,learning
164,1,2,tools,535,fruit_vegetable_group,learning
165,1,2,vehicles,471,fruit_vegetable_group,learning
166,1,2,tools,570,fruit_vegetable_group,learning
167,1,2,vehicles,537,fruit_vegetable_group,learning
168,1,2,tools,576,fruit_vegetable_group,learning
169,1,2,tools,543,fruit_vegetable_group,learning
170,1,2,vehicles,660,fruit_vegetable_group,learning
171,1,2,vehicles,655,fruit_vegetable_group,learning
172,1,2,tools,627,fruit_vegetable_group,learning
173,1,2,tools,788,fruit_vegetable_group,learning
174,1,2,tools,743,fruit_vegetable_group,learning
175,1,2,vehicles,528,fruit_vegetable_group,learning
176,1,2,vehicles,672,fruit_vegetable_group,learning
177,1,2,vehicles,627,fruit_vegetable_group,learning
178,1,2,vehicles,691,fruit_vegetable_group,learning
179,1,2,vehicles,522,fruit_vegetable_group,learning
180,1,2,tools,652,fruit_vegetable_group,learning
181,1,2,vehicles,697,fruit_vegetable_group,learning
182,1,2,vehicles,643,fruit_vegetable_group,learning
183,1,2,tools,644,fruit_vegetable_group,learning
184,1,2,tools,691,fruit_vegetable_group,learning
185,1,2,vehicles,517,fruit_vegetable_group,learning
186,1,2,vehicles,577,fruit_vegetable_group,learning
187,1,2,vehicles,677,fruit_vegetable_group,learning
188,1,2,vehicles,511,fruit_vegetable_group,learning
189,1,2,tools,727,fruit_vegetable_group,learning
190,1,2,vehicles,664,fruit_vegetable_group,learning
191,1,2,tools,612,fruit_vegetable_group,learning
192,1,2,tools,611,fruit_vegetable_group,learning
193,1,2,vehicles,520,fruit_vegetable_group,learning
194,1,2,tools,544,fruit_vegetable_group,learning
195,1,2,tools,606,fruit_vegetable_group,learning
196,1,2,tools,555,fruit_vegetable_group,learning
197,1,2,tools,740,fruit_vegetable_group,learning
198,1,2,tools,556,fruit_vegetable_group,learning
199,1,3,tools,621,fruit_vegetable_group,learning
200,1,3,vehicles,811,fruit_vegetable_group,learning
201,1,3,tools,643,fruit_vegetable_group,learning
202,1,3,vehicles,785,fruit_vegetable_group,learning
203,1,3,tools,531,fruit_vegetable_group,learning
204,1,3,tools,698,fruit_vegetable_group,learning
205,1,3,tools,519,fruit_vegetable_group,learning
206,1,3,vehicles,517,fruit_vegetable_group,learning
207,1,3,vehicles,769,fruit_vegetable_group,learning
208,1,3,vehicles,604,fruit_vegetable_group,learning
209,1,3,tools,701,fruit_vegetable_group,learning
210,1,3,vehicles,613,fruit_vegetable_group,learning
211,1,3,tools,751,fruit_vegetable_group,learning
212,1,3,tools,630,fruit_vegetable_group,learning
213,1,3,tools,629,fruit_vegetable_group,learning
214,1,3,vehicles,521,fruit_vegetable_group,learning
215,1,3,vehicles,725,fruit_vegetable_group,learning
216,1,3,vehicles,782,fruit_vegetable_group,learning
217,1,3,vehicles,744,fruit_vegetable_group,learning
218,1,3,tools,636,fruit_vegetable_group,learning
219,1,3,vehicles,663,fruit_vegetable_group,learning
220,1,3,tools,589,fruit_vegetable_group,learning
221,1,3,vehicles,658,fruit_vegetable_group,learning
222,1,3,vehicles,511,fruit_vegetable_group,learning
223,1,3,tools,624,fruit_vegetable_group,learning
224,1,3,vehicles,492,fruit_vegetable_group,learning
225,1,3,tools,652,fruit_vegetable_group,learning
226,1,3,vehicles,541,fruit_vegetable_group,learning
227,1,3,vehicles,521,fruit_vegetable_group,learning
228,1,3,tools,503,fruit_vegetable_group,learning
229,1,3,vehicles,693,fruit_vegetable_group,learning
230,1,3,vehicles,698,fruit_vegetable_group,learning
231,1,3,tools,585,fruit_vegetable_group,learning
232,1,3,vehicles,608,fruit_vegetable_group,learning
233,1,3,vehicles,591,fruit_vegetable_group,learning
234,1,3,tools,528,fruit_vegetable_group,learning
235,1,3,vehicles,459,fruit_vegetable_group,learning
236,1,3,tools,623,fruit_vegetable_group,learning
237,1,3,vehicles,425,fruit_vegetable_group,learning
238,1,3,vehicles,433,fruit_vegetable_group,learning
239,1,3,vehicles,457,fruit_vegetable_group,learning
240,1,3,vehicles,433,fruit_vegetable_group,learning
241,1,3,vehicles,546,fruit_vegetable_group,learning
242,1,3,vehicles,527,fruit_vegetable_group,learning
243,1,3,tools,641,fruit_vegetable_group,learning
244,1,3,vehicles,531,fruit_vegetable_group,learning
245,1,3,tools,687,fruit_vegetable_group,learning
246,1,3,vehicles,528,fruit_vegetable_group,learning
247,1,3,vehicles,557,fruit_vegetable_group,learning
248,1,3,tools,575,fruit_vegetable_group,learning
249,1,3,tools,555,fruit_vegetable_group,learning
250,1,3,vehicles,557,fruit_vegetable_group,learning
251,1,3,tools,733,fruit_vegetable_group,learning
252,1,3,tools,623,fruit_vegetable_group,learning
253,1,3,tools,531,fruit_vegetable_group,learning
254,1,3,tools,583,fruit_vegetable_group,learning
255,1,3,vehicles,805,fruit_vegetable_group,learning
256,1,3,tools,588,fruit_vegetable_group,learning
257,1,3,vehicles,668,fruit_vegetable_group,learning
258,1,3,tools,722,fruit_vegetable_group,learning
259,1,3,vehicles,543,fruit_vegetable_group,learning
260,1,3,tools,595,fruit_vegetable_group,learning
261,1,3,tools,550,fruit_vegetable_group,learning
262,1,3,vehicles,577,fruit_vegetable_group,learning
263,2,0,vehicles,682.3,fruit_vegetable_group,learning
264,2,0,vehicles,763,fruit_vegetable_group,learning
265,2,0,vehicles,705.2,fruit_vegetable_group,learning
266,2,0,tools,678.9,fruit_vegetable_group,learning
267,2,0,vehicles,467.8,fruit_vegetable_group,learning
268,2,0,vehicles,548.3,fruit_vegetable_group,learning
269,2,0,tools,582.2,fruit_vegetable_group,learning
270,2,0,tools,581.2,fruit_vegetable_group,learning
271,2,0,vehicles,492.2,fruit_vegetable_group,learning
272,2,0,tools,650.3,fruit_vegetable_group,learning
273,2,0,tools,766,fruit_vegetable_group,learning
274,2,0,tools,617.3,fruit_vegetable_group,learning
275,2,0,tools,684.8,fruit_vegetable_group,learning
276,2,0,vehicles,657.3,fruit_vegetable_group,learning
277,2,0,vehicles,698.8,fruit_vegetable_group,learning
278,2,0,tools,551.9,fruit_vegetable_group,learning
279,2,0,tools,599.5,fruit_vegetable_group,learning
280,2,0,vehicles,556.4,fruit_vegetable_group,learning
281,2,0,tools,476.5,fruit_vegetable_group,learning
282,2,0,vehicles,719.7,fruit_vegetable_group,learning
283,2,0,tools,557.2,fruit_vegetable_group,learning
284,2,0,tools,560.2,fruit_vegetable_group,learning
285,2,0,tools,664.4,fruit_vegetable_group,learning
286,2,0,vehicles,584,fruit_vegetable_group,learning
287,2,0,vehicles,573.5,fruit_vegetable_group,learning
288,2,0,tools,578.5,fruit_vegetable_group,learning
289,2,0,tools,633.1,fruit_vegetable_group,learning
290,2,0,tools,646.2,fruit_vegetable_group,learning
291,2,0,vehicles,627,fruit_vegetable_group,learning
292,2,0,tools,619.2,fruit_vegetable_group,learning
293,2,0,tools,644.9,fruit_vegetable_group,learning
294,2,0,tools,608.7,fruit_vegetable_group,learning
295,2,0,vehicles,545.4,fruit_vegetable_group,learning
296,2,0,vehicles,417.4,fruit_vegetable_group,learning
297,2,0,vehicles,692.2,fruit_vegetable_group,learning
298,2,0,tools,606.5,fruit_vegetable_group,learning
299,2,0,vehicles,673.2,fruit_vegetable_group,learning
300,2,0,tools,750.2,fruit_vegetable_group,learning
301,2,0,vehicles,630.9,fruit_vegetable_group,learning
302,2,0,tools,503.3,fruit_vegetable_group,learning
303,2,0,vehicles,442,fruit_vegetable_group,learning
304,2,0,tools,609.6,fruit_vegetable_group,learning
305,2,0,tools,532,fruit_vegetable_group,learning
306,2,0,vehicles,631.4,fruit_vegetable_group,learning
307,2,0,tools,575.2,fruit_vegetable_group,learning
308,2,0,tools,690,fruit_vegetable_group,learning
309,2,0,tools,605.1,fruit_vegetable_group,learning
310,2,0,vehicles,677.7,fruit_vegetable_group,learning
311,2,0,vehicles,544.9,fruit_vegetable_group,learning
312,2,0,tools,509.6,fruit_vegetable_group,learning
313,2,0,vehicles,587,fruit_vegetable_group,learning
314,2,0,tools,630,fruit_vegetable_group,learning
315,2,0,tools,571.3,fruit_vegetable_group,learning
316,2,0,vehicles,668.5,fruit_vegetable_group,learning
317,2,0,tools,569,fruit_vegetable_group,learning
318,2,0,vehicles,792,fruit_vegetable_group,learning
319,2,0,vehicles,632.3,fruit_vegetable_group,learning
320,2,0,vehicles,593.7,fruit_vegetable_group,learning
321,2,0,vehicles,709.1,fruit_vegetable_group,learning
322,2,0,vehicles,503.6,fruit_vegetable_group,learning
323,2,0,vehicles,617.5,fruit_vegetable_group,learning
324,2,0,tools,579.4,fruit_vegetable_group,learning
325,2,0,tools,547,fruit_vegetable_group,learning
326,2,1,vehicles,717.9,fruit_vegetable_group,learning
327,2,1,tools,780.9,fruit_vegetable_group,learning
328,2,1,tools,531.8,fruit_vegetable_group,learning
329,2,1,vehicles,545,fruit_vegetable_group,learning
330,2,1,tools,494.7,fruit_vegetable_group,learning
331,2,1,vehicles,601.2,fruit_vegetable_group,learning
332,2,1,vehicles,742.8,fruit_vegetable_group,learning
333,2,1,vehicles,585.4,fruit_vegetable_group,learning
334,2,1,vehicles,548.5,fruit_vegetable_group,learning
335,2,1,vehicles,557.8,fruit_vegetable_group,learning
336,2,1,tools,660.6,fruit_vegetable_group,learning
337,2,1,vehicles,680.4,fruit_vegetable_group,learning
338,2,1,tools,579.2,fruit_vegetable_group,learning
339,2,1,tools,743.4,fruit_vegetable_group,learning
340,2,1,vehicles,769.4,fruit_vegetable_group,learning
341,2,1,vehicles,599.7,fruit_vegetable_group,learning
342,2,1,tools,586.6,fruit_vegetable_group,learning
343,2,1,tools,473.5,fruit_vegetable_group,learning
344,2,1,vehicles,598.1,fruit_vegetable_group,learning
345,2,1,tools,614.1,fruit_vegetable_group,learning
346,2,1,vehicles,589.9,fruit_vegetable_group,learning
347,2,1,tools,628.2,fruit_vegetable_group,learning
348,2,1,tools,607.1,fruit_vegetable_group,learning
349,2,1,tools,661.6,fruit_vegetable_group,learning
350,2,1,vehicles,519.1,fruit_vegetable_group,learning
351,2,1,tools,629.3,fruit_vegetable_group,learning
352,2,1,tools,769.4,fruit_vegetable_group,learning
353,2,1,vehicles,818.5,fruit_vegetable_group,learning
354,2,1,vehicles,580.5,fruit_vegetable_group,learning
355,2,1,tools,840.8,fruit_vegetable_group,learning
356,2,1,vehicles,514,fruit_vegetable_group,learning
357,2,1,vehicles,472.7,fruit_vegetable_group,learning
358,2,1,tools,564.3,fruit_vegetable_group,learning
359,2,1,tools,582.5,fruit_vegetable_group,learning
360,2,1,vehicles,781.2,fruit_vegetable_group,learning
361,2,1,tools,469.7,fruit_vegetable_group,learning
362,2,1,vehicles,517.4,fruit_vegetable_group,learning
363,2,1,vehicles,697,fruit_vegetable_group,learning
364,2,1,vehicles,687.4,fruit_vegetable_group,learning
365,2,1,vehicles,741.7,fruit_vegetable_group,learning
366,2,1,vehicles,545.4,fruit_vegetable_group,learning
367,2,1,tools,566.7,fruit_vegetable_group,learning
368,2,1,tools,647.8,fruit_vegetable_group,learning
369,2,1,tools,642,fruit_vegetable_group,learning
370,2,1,vehicles,595.3,fruit_vegetable_group,learning
371,2,1,tools,582.1,fruit_vegetable_group,learning
372,2,1,vehicles,642.8,fruit_vegetable_group,learning
373,2,1,tools,645.5,fruit_vegetable_group,learning
374,2,1,vehicles,663.1,fruit_vegetable_group,learning
375,2,1,vehicles,647.9,fruit_vegetable_group,learning
376,2,1,tools,550.4,fruit_vegetable_group,learning
377,2,1,vehicles,644.8,fruit_vegetable_group,learning
378,2,1,vehicles,589.9,fruit_vegetable_group,learning
379,2,1,vehicles,824.6,fruit_vegetable_group,learning
380,2,1,tools,621.3,fruit_vegetable_group,learning
381,2,1,vehicles,472.1,fruit_vegetable_group,learning
382,2,1,tools,569.1,fruit_vegetable_group,learning
383,2,1,tools,528.6,fruit_vegetable_group,learning
384,2,1,vehicles,510.5,fruit_vegetable_group,learning
385,2,1,vehicles,600.2,fruit_vegetable_group,learning
386,2,1,vehicles,675.6,fruit_vegetable_group,learning
387,2,1,tools,667.7,fruit_vegetable_group,learning
388,2,1,tools,674.9,fruit_vegetable_group,learning
389,2,1,vehicles,545,fruit_vegetable_group,learning
390,2,1,tools,538.5,fruit_vegetable_group,learning
391,2,1,tools,733.2,fruit_vegetable_group,learning
392,2,2,tools,618.7,fruit_vegetable_group,learning
393,2,2,tools,555.3,fruit_vegetable_group,learning
394,2,2,vehicles,631.3,fruit_vegetable_group,learning
395,2,2,vehicles,675.3,fruit_vegetable_group,learning
396,2,2,tools,770.5,fruit_vegetable_group,learning
397,2,2,vehicles,531.8,fruit_vegetable_group,learning
398,2,2,tools,488.8,fruit_vegetable_group,learning
399,2,2,vehicles,611.3,fruit_vegetable_group,learning
400,2,2,tools,721,fruit_vegetable_group,learning
401,2,2,tools,751.5,fruit_vegetable_group,learning
402,2,2,tools,665.4,fruit_vegetable_group,learning
403,2,2,tools,530.5,fruit_vegetable_group,learning
404,2,2,vehicles,554.2,fruit_vegetable_group,learning
405,2,2,tools,507.4,fruit_vegetable_group,learning
406,2,2,vehicles,720.7,fruit_vegetable_group,learning
407,2,2,tools,512.2,fruit_vegetable_group,learning
408,2,2,vehicles,623.2,fruit_vegetable_group,learning
409,2,2,vehicles,657.3,fruit_vegetable_group,learning
410,2,2,tools,646.6,fruit_vegetable_group,learning
411,2,2,vehicles,737,fruit_vegetable_group,learning
412,2,2,tools,617.2,fruit_vegetable_group,learning
413,2,2,tools,631.3,fruit_vegetable_group,learning
414,2,2,vehicles,590.2,fruit_vegetable_group,learning
415,2,2,vehicles,596,fruit_vegetable_group,learning
416,2,2,tools,533.2,fruit_vegetable_group,learning
417,2,2,tools,583.2,fruit_vegetable_group,learning
418,2,2,tools,720.4,fruit_vegetable_group,learning
419,2,2,tools,570.7,fruit_vegetable_group,learning
420,2,2,vehicles,594,fruit_vegetable_group,learning
421,2,2,vehicles,452.2,fruit_vegetable_group,learning
422,2,2,vehicles,597,fruit_vegetable_group,learning
423,2,2,tools,604.7,fruit_vegetable_group,learning
424,2,2,vehicles,631,fruit_vegetable_group,learning
425,2,2,vehicles,745.6,fruit_vegetable_group,learning
426,2,2,tools,817.3,fruit_vegetable_group,learning
427,2,2,tools,667.2,fruit_vegetable_group,learning
428,2,2,vehicles,528,fruit_vegetable_group,learning
429,2,2,tools,588.8,fruit_vegetable_group,learning
430,2,2,tools,598.7,fruit_vegetable_group,learning
431,2,2,tools,606.1,fruit_vegetable_group,learning
432,2,2,vehicles,704.5,fruit_vegetable_group,learning
433,2,2,vehicles,609.5,fruit_vegetable_group,learning
434,2,2,tools,599.7,fruit_vegetable_group,learning
435,2,2,tools,638.7,fruit_vegetable_group,learning
436,2,2,vehicles,603.7,fruit_vegetable_group,learning
437,2,2,vehicles,617.9,fruit_vegetable_group,learning
438,2,2,tools,526.6,fruit_vegetable_group,learning
439,2,2,vehicles,677.1,fruit_vegetable_group,learning
440,2,2,tools,621.1,fruit_vegetable_group,learning
441,2,2,tools,636.9,fruit_vegetable_group,learning
442,2,2,vehicles,545.5,fruit_vegetable_group,learning
443,2,2,vehicles,636,fruit_vegetable_group,learning
444,2,2,vehicles,526.2,fruit_vegetable_group,learning
445,2,2,vehicles,509.1,fruit_vegetable_group,learning
446,2,2,tools,728,fruit_vegetable_group,learning
447,2,2,vehicles,582.1,fruit_vegetable_group,learning
448,2,2,vehicles,679.8,fruit_vegetable_group,learning
449,2,2,vehicles,534,fruit_vegetable_group,learning
450,2,2,vehicles,761.8,fruit_vegetable_group,learning
451,2,2,tools,599.7,fruit_vegetable_group,learning
452,2,2,tools,523.4,fruit_vegetable_group,learning
453,2,2,vehicles,682.5,fruit_vegetable_group,learning
454,2,2,tools,829.1,fruit_vegetable_group,learning
455,2,2,vehicles,731.8,fruit_vegetable_group,learning
456,2,2,vehicles,624.4,fruit_vegetable_group,learning
457,2,2,tools,754.9,fruit_vegetable_group,learning
458,2,2,tools,736.4,fruit_vegetable_group,learning
459,2,2,vehicles,631,fruit_vegetable_group,learning
460,2,2,tools,666.5,fruit_vegetable_group,learning
461,2,3,vehicles,672.7,fruit_vegetable_group,learning
462,2,3,vehicles,480.1,fruit_vegetable_group,learning
463,2,3,tools,687,fruit_vegetable_group,learning
464,2,3,vehicles,589.8,fruit_vegetable_group,learning
465,2,3,vehicles,564,fruit_vegetable_group,learning
466,2,3,tools,579,fruit_vegetable_group,learning
467,2,3,tools,756.6,fruit_vegetable_group,learning
468,2,3,vehicles,590,fruit_vegetable_group,learning
469,2,3,tools,537.9,fruit_vegetable_group,learning
470,2,3,tools,628.4,fruit_vegetable_group,learning
471,2,3,tools,664.7,fruit_vegetable_group,learning
472,2,3,vehicles,618.4,fruit_vegetable_group,learning
473,2,3,vehicles,663.8,fruit_vegetable_group,learning
474,2,3,vehicles,705.6,fruit_vegetable_group,learning
475,2,3,tools,555,fruit_vegetable_group,learning
476,2,3,tools,673.8,fruit_vegetable_group,learning
477,2,3,tools,495.6,fruit_vegetable_group,learning
478,2,3,tools,474.6,fruit_vegetable_group,learning
479,2,3,tools,605.2,fruit_vegetable_group,learning
480,2,3,tools,573.7,fruit_vegetable_group,learning
481,2,3,vehicles,557,fruit_vegetable_group,learning
482,2,3,tools,648.3,fruit_vegetable_group,learning
483,2,3,vehicles,607.1,fruit_vegetable_group,learning
484,2,3,vehicles,558.7,fruit_vegetable_group,learning
485,2,3,vehicles,506.7,fruit_vegetable_group,learning
486,2,3,tools,785.8,fruit_vegetable_group,learning
487,2,3,vehicles,555.9,fruit_vegetable_group,learning
488,2,3,vehicles,439.5,fruit_vegetable_group,learning
489,2,3,vehicles,509.8,fruit_vegetable_group,learning
490,2,3,tools,502.4,fruit_vegetable_group,learning
491,2,3,tools,764.1,fruit_vegetable_group,learning
492,2,3,tools,659.6,fruit_vegetable_group,learning
493,2,3,tools,540,fruit_vegetable_group,learning
494,2,3,vehicles,807.3,fruit_vegetable_group,learning
495,2,3,tools,565.9,fruit_vegetable_group,learning
496,2,3,vehicles,632,fruit_vegetable_group,learning
497,2,3,vehicles,566.8,fruit_vegetable_group,learning
498,2,3,vehicles,508,fruit_vegetable_group,learning
499,2,3,tools,629.6,fruit_vegetable_group,learning
500,2,3,tools,566.6,fruit_vegetable_group,learning
501,2,3,vehicles,832.1,fruit_vegetable_group,learning
502,2,3,vehicles,951,fruit_vegetable_group,learning
503,2,3,vehicles,530.8,fruit_vegetable_group,learning
504,2,3,tools,895.9,fruit_vegetable_group,learning
505,2,3,vehicles,467,fruit_vegetable_group,learning
506,2,3,vehicles,480.4,fruit_vegetable_group,learning
507,2,3,tools,803.2,fruit_vegetable_group,learning
508,2,3,vehicles,876.2,fruit_vegetable_group,learning
509,2,3,vehicles,818.4,fruit_vegetable_group,learning
510,2,3,vehicles,567.3,fruit_vegetable_group,learning
511,2,3,vehicles,619.2,fruit_vegetable_group,learning
512,2,3,tools,773.6,fruit_vegetable_group,learning
513,2,3,vehicles,909.8,fruit_vegetable_group,learning
514,2,3,vehicles,525.2,fruit_vegetable_group,learning
515,2,3,tools,539.3,fruit_vegetable_group,learning
516,2,3,tools,540.1,fruit_vegetable_group,learning
517,2,3,vehicles,427.2,fruit_vegetable_group,learning
518,2,3,tools,535.7,fruit_vegetable_group,learning
519,2,3,tools,625.5,fruit_vegetable_group,learning
